category	status	severity	package	symbol	score	cpp_anchor	selfhost_anchor	cpp_br	cpp_lp	cpp_ret	cj_br	cj_lp	cj_ret	missing_calls
flow	retained	P2	chir	CreateVirtualFuncInAutoEnvBaseDef	10	CHIR/Transformation/ClosureConversion.cpp:342	chir/src/ClosureConversion.cj:491	2	2	0	2	2	1	CreateFunction, GenerateGenericAbstractFuncMangleName, GenerateInstantiatedAbstractFuncMangleName, GetPackageName, GetType
flow	new	P2	chir	TranslateVarInit	10	CHIR/AST2CHIR/GlobalVarInitializer.cpp:437;CHIR/AST2CHIR/TranslateASTNode/TranslateClassDecl.cpp:209	chir/src/Translator.cj:672	4	0	6	0	0	3	GetType, TranslateSingleInitializer, TranslateVarWithPatternInitializer
flow	new	P2	chir	TrySimplifyingBinaryExpr	10	CHIR/Optimization/ConstPropagation.cpp:177	chir/src/ConstPropagation.cj:174	18	0	14	14	0	8	GetLHSOperand, GetRHSOperand, GetVal
flow	retained	P3	chir	AddMemberVarDecl	9	CHIR/AST2CHIR/TranslateASTNode/TranslateClassDecl.cpp:105	chir/src/Translator.cj:2766	4	1	2	5	1	3	CreateAnnoFactoryFuncSig, GetSymbolTable, IsSrcCodeImportedGlobalDecl, SetDirectInstanceVars, TranslateLocation
flow	retained	P3	chir	CheckApplyFuncArgs	9	CHIR/Checker/CHIRChecker.cpp:2223	chir/src/CHIRChecker.cj:2135	2	1	1	3	1	1	ClosureTypeIsExpected, ErrorInFunc, GetExpressionString, StripAllRefs, TypeIsExpected
flow	new	P3	chir	ClearOrCreateVarInitFunc	9	CHIR/AST2CHIR/TranslateASTNode/TranslateClassDecl.cpp:145	chir/src/Translator.cj:611	6	0	2	5	0	2	GetEntryBlock, GetParamType, GetResult, GetType
flow	retained	P3	chir	CreateAndCacheGlobalVar	9	CHIR/AST2CHIR/ASTPackage2CHIR.cpp:876	chir/src/FaithfulAST2CHIR.cj:4061	8	0	2	3	0	1	GetType, IsSrcCodeImportedGlobalDecl
flow	retained	P3	chir	GetInstParentType	9	CHIR/Utils/UserDefinedType.cpp:55;CHIR/Utils/Utils.cpp:1261;CHIR/Utils/Utils.cpp:1421	chir/src/CustomTypeDef.cj:129;chir/src/Utils.cj:302	9	5	7	5	4	3	GetSuperTypesRecusively, StripAllRefs
flow	retained	P3	chir	TranslateEnumPatternMatchAsTable	9	CHIR/AST2CHIR/TranslateASTNode/TranslateIfExpr.cpp:235;CHIR/AST2CHIR/TranslateASTNode/TranslateMatchExpr.cpp:793	chir/src/Translator.cj:5044	6	7	1	5	5	0	ConvertFromMapToVectors, GetCurrentBlock, SetCurrentBlock
flow	retained	P3	chir	TranslateFinallyNormalFlows	9	CHIR/AST2CHIR/TranslateASTNode/TranslateTryExpr.cpp:173	chir/src/Translator.cj:4228	3	2	0	0	2	0	GetBlockByAST, GetDebugLocation, Set
flow	new	P3	chir	UnreachableBlockElimination	9	CHIR/CHIR.cpp:266;CHIR/Optimization/DeadCodeElimination.cpp:718;CHIR/Optimization/DeadCodeElimination.cpp:728	chir/src/DeadCodeElimination.cj:489	2	2	0	2	1	0	DeadCodeElimination, DumpCHIRToFile, GetGlobalFunctionsRef, UnreachableBlockElimination
flow	retained	P3	chir	CheckNormalTuple	8	CHIR/Checker/CHIRChecker.cpp:3640	chir/src/CHIRChecker.cj:1430	2	1	1	4	1	1	ErrorInFunc, GetIdentifier, GetResult, ToString, TypeIsExpected
flow	retained	P3	chir	CheckVArray	8	CHIR/Checker/CHIRChecker.cpp:3858	chir/src/CHIRChecker.cj:1488	3	1	2	5	1	1	ErrorInExpr, GetNumOfOperands, GetOperand, GetResult, IsCTypeInVArray
flow	retained	P3	chir	ConvertNestedFunctions	8	CHIR/Transformation/ClosureConversion.cpp:1295	chir/src/ClosureConversion.cj:126	2	2	0	2	2	0	DoFunctionInlineForLambda, GetDebugLocation, PrintNestedFuncInfo, RemoveSelfFromBlock
flow	retained	P3	chir	ConvertToChir	8	CHIR/Interpreter/ConstEval.cpp:79	chir/src/ConstEval.cj:209	18	0	9	12	0	2	GetResult
flow	new	P3	chir	CountBlockSize	8	CHIR/Analysis/ConstAnalysisWrapper.cpp:30	chir/src/ConstAnalysisWrapper.cj:113	2	2	3	0	0	2	GetBlockSize, GetExpressions
